Temperature,Humidity,Pressure
32.26,45,1030.25
32.22,44,1030.22
32.3,44,1030.21
32.28,44,1030.21
32.24,44,1030.22
32.32,44,1030.22
32.26,44,1030.18
32.2,44,1030.19
32.28,44,1030.23

Temperature,Humidity,Pressure
32.13,45,1030.25
32.2,45,1030.2
32.17,45,1030.22
32.17,45,1030.22
32.09,45,1030.22
32.17,45,1030.25
32.17,45,1030.25
32.19,45,1030.24
32.26,45,1030.27
32.2,45,1030.25
32.07,45,1030.24
32.2,45,1030.23
32.15,45,1030.23
32.13,45,1030.25
32.19,45,1030.22
32.19,45,1030.25
32.17,46,1030.26
32.17,45,1030.25
32.24,45,1030.22

